P1;0.504424779;36;;;;;;;;;;;
P2;0.53539823;36;;;;;;;;;;;
P3;0.497716895;36;;;;P1;P2;P3;P4;;;;
P4;0.525114155;36;;;;0.012610619;0.010707965;0.010819933;0.010013619;#¡VALOR!;#¡VALOR!;#¡VALOR!;#¡VALOR!
P1;0.5;48;;;;0.19221239;0.224159292;0.21639865;0.240313226;0.17960177;0.213451327;0.205578718;0.230299607
P2;0.495575221;48;;;;0.504424779;0.53539823;0.497716895;0.525114155;0.312212389;0.311238938;0.281318245;0.284800929
P3;0.534246575;48;;;;0.5;0.495575221;0.534246575;0.438356164;-0.004424779;-0.039823009;0.03652968;-0.086757991
P4;0.438356164;48;;;;0.522123894;0.522123894;0.570776256;0.470319635;0.022123894;0.026548673;0.03652968;0.03196347
P1;0.522123894;60;;;;0.588495575;0.597345133;0.639269406;0.611872146;0.066371681;0.075221239;0.068493151;0.141552511
P2;0.522123894;60;;;;0.632743363;0.646017699;0.639269406;0.538812785;0.044247788;0.048672566;0;-0.073059361
P3;0.570776256;60;;;;0.637168142;0.668141593;0.703196347;0.557077626;0.004424779;0.022123894;0.063926941;0.01826484
P4;0.470319635;60;;;;0.747787611;0.730088496;0.712328767;0.739726027;0.110619469;0.061946903;0.00913242;0.182648402
P1;0.588495575;72;;;;0.818584071;0.747787611;0.799086758;0.726027397;0.07079646;0.017699115;0.086757991;-0.01369863
P2;0.597345133;72;;;;;;;;;;;
P3;0.639269406;72;;;;;;;;;;;
P4;0.611872146;72;;;;;;;;;;;
P1;0.632743363;84;;;;;;;;;;;
P2;0.646017699;84;;;;;;;;;;;
P3;0.639269406;84;;;;;;;;;;;
P4;0.538812785;84;;;;;;;;;;;
P1;0.637168142;96;;;;;;;;;;;
P2;0.668141593;96;;;;;;;;;;;
P3;0.703196347;96;;;;;;;;;;;
P4;0.557077626;96;;;;;;;;;;;
P1;0.747787611;108;;;;;;;;;;;
P2;0.730088496;108;;;;;;;;;;;
P3;0.712328767;108;;;;;;;;;;;
P4;0.739726027;108;;;;;;;;;;;
P1;0.818584071;120;;;;;;;;;;;
P2;0.747787611;120;;;;;;;;;;;
P3;0.799086758;120;;;;;;;;;;;
P4;0.726027397;120;;;;;;;;;;;
P1, 0.7583333333333333, 12,
P2, 0.7583333333333333, 12,
P3, 0.7583333333333333, 12,
P4, 0.7583333333333333, 12,
