, Paciente meta_P300S01-lag0
Eventos coincidentes encontrados (sin tmin & tmax), 3994
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4040
IDs de los eventos, 12
getlabels Nohits -> epochs, 3333
getlabels Nohits -> Time, 201
getlabels Hits -> epochs, 671
getlabels Hits -> Time, 201
nohit_precision:, 0.8468776732249786
nohit_recall:, 0.99
nohit_f1_score:, 0.9128630705394191
nohit_support:, 1000
hit_precision:, 0.7142857142857143
hit_recall:, 0.12254901960784313
hit_f1_score:, 0.20920502092050208
hit_support:, 204
