, Paciente meta_P300S01-lag3
Eventos coincidentes encontrados (sin tmin & tmax), 3994
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4040
IDs de los eventos, 12
getlabels Nohits -> epochs, 3333
getlabels Nohits -> Time, 201
getlabels Hits -> epochs, 671
getlabels Hits -> Time, 201
nohit_precision:, 0.9791459781529295
nohit_recall:, 0.986
nohit_f1_score:, 0.9825610363726955
nohit_support:, 1000
hit_precision:, 0.9289340101522843
hit_recall:, 0.8970588235294118
hit_f1_score:, 0.9127182044887782
hit_support:, 204
