Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,71.25968992248062
2,2.0,71.33995864736877
3,3.0,70.850903243802
4,4.0,70.850903243802
5,5.0,70.850903243802
6,6.0,71.74676358147242
7,7.0,71.25968992248062
8,8.0,70.78834809432192
9,9.0,70.78834809432192
10,10.0,71.18697150015659
11,11.0,71.18697150015659
12,12.0,71.95099708171206
13,13.0,72.0419668023802
14,14.0,72.57582720588236
15,15.0,72.91640103701815
16,16.0,74.14407169117648
17,17.0,73.68991457350505
18,18.0,73.24853228962817
19,19.0,72.14288750053126
20,20.0,72.14288750053126
