Muestra,Coef_erp,accuracy_prom_hnh
1,0.5,66.63879598662209
2,1.0,78.05816937553465
3,1.5,77.69830255151062
4,2.0,83.50839500278506
5,2.5,87.43987434966134
6,3.0,90.84965249170838
7,3.5,92.90081521739133
8,4.0,94.89639685618046
9,4.5,95.53713842846072
10,5.0,95.73625027173377
11,5.5,96.22866769208234
12,6.0,96.29355798976594
13,6.5,96.42319277108432
14,7.0,96.42319277108432
15,7.5,96.4879421028588
16,8.0,96.4879421028588
17,8.5,96.55264922870556
18,9.0,96.77742780890097
19,9.5,96.77742780890097
20,10.0,96.84104627766598
