Muestra;Coef_erp;acc_P300S01;acc_P300S02;acc_P300S03;acc_P300S06
1;1;78.05816938;69.02163257;65.51789077;60.85889134
2;2;76.99368904;72.4533107;67.26415094;64.37085537
3;3;75.82686224;70.49033767;67.26415094;66.74397032
4;4;77.65109913;69.09657749;69.73792223;69.59933912
5;5;77.01784977;67.02037351;68.06163619;70.80783354
6;6;76.73673303;65.56026365;67.26415094;67.96370722
7;7;77.91958042;65.56026365;67.29678639;66.86915888
8;8;79.83278509;66.37256824;70.33248082;65.86155285
9;9;82.30811404;67.02037351;71.18636793;64.73909657
10;10;83.13322368;67.70281732;71.18636793;65.86155285
11;11;81.54515327;68.95692787;69.5269631;66.90074906
12;12;82.32446147;68.28653428;69.5269631;70.39160401
13;13;81.48981399;68.85283234;70.2020202;66.99623352
14;14;80.56924181;69.2813036;71.00283822;67.77372706
15;15;78.41009922;69.33504566;70.2020202;67.12523719
16;16;78.41009922;70.79188757;69.9904943;67.15779468
17;17;78.8596148;72.50645995;69.2608686;67.77499826
18;18;78.42771622;73.65106307;68.69296578;67.7793021
19;19;78.20529542;75.70812808;70.47132374;68.94502701
20;20;79.07472889;74.00934621;71.84678935;68.90711049
