Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,72.86076848890919
2,2.0,72.86076848890919
3,3.0,72.86076848890919
4,4.0,72.86076848890919
5,5.0,72.86076848890919
6,6.0,72.86076848890919
7,7.0,72.86076848890919
8,8.0,72.86076848890919
9,9.0,72.86076848890919
10,10.0,72.86076848890919
11,11.0,72.86076848890919
12,12.0,72.86076848890919
13,13.0,72.86076848890919
14,14.0,72.86076848890919
15,15.0,72.86076848890919
16,16.0,72.86076848890919
17,17.0,72.86076848890919
18,18.0,72.86076848890919
19,19.0,72.86076848890919
20,20.0,72.86076848890919
