Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,76.64902998236332
2,2.0,87.64247292718181
3,3.0,92.59099143610013
4,4.0,94.26170251219952
5,5.0,95.80247338868028
6,6.0,96.52262018115675
7,7.0,96.65009521317576
8,8.0,96.65009521317576
9,9.0,96.87919528377142
10,10.0,97.00436360827926
11,11.0,96.77742780890097
12,12.0,96.7137781896818
13,13.0,96.77742780890097
14,14.0,96.77742780890097
15,15.0,96.77742780890097
16,16.0,96.77742780890097
17,17.0,96.77742780890097
18,18.0,96.84104627766598
19,19.0,96.84104627766598
20,20.0,96.90463576791092
