Muestra;Coef_erp;acc_P300S01;acc_P300S02;acc_P300S03;acc_P300S06
1;1;76.64902998;78.81578947;71.25968992;72.86076849
2;2;87.64247293;87.79723882;78.71823133;85.92854052
3;3;92.59099144;93.90280823;87.61163527;93.79622345
4;4;94.26170251;96.02321166;91.8112839;93.45804071
5;5;95.80247339;97.08900092;92.26107069;94.22226387
6;6;96.52262018;97.7377726;92.87901446;95.2020264
7;7;96.65009521;97.91666667;94.09991387;95.68198395
8;8;96.65009521;97.91666667;94.66319444;95.56993156
9;9;96.87919528;98.13953488;95.29513889;95.71640948
10;10;97.00436361;98.08094092;95.53404885;95.86254267
11;11;96.77742781;98.08094092;95.53404885;96.08115976
12;12;96.71377819;98.02236483;95.53404885;96.08115976
13;13;96.77742781;98.02236483;95.61111111;96.08115976
14;14;96.77742781;98.02236483;95.61111111;96.08115976
15;15;96.77742781;98.02236483;95.37338551;96.15389075
16;16;96.77742781;98.02236483;95.37338551;96.22655673
17;17;96.77742781;98.02236483;95.37338551;96.22655673
18;18;96.84104628;98.02236483;95.13810759;96.13216965
19;19;96.84104628;98.02236483;95.13810759;96.05841924
20;20;96.90463577;98.02236483;95.13810759;96.05841924
