Muestra,Coef_erp,accuracy_prom_hnh
1,1.0,72.86076848890919
2,2.0,72.56136820925553
3,3.0,73.11167002012073
4,4.0,74.04326381205472
5,5.0,73.97137201157302
6,6.0,75.40775346283091
7,7.0,76.41348088531188
8,8.0,77.38575268817205
9,9.0,77.05612649770262
10,10.0,76.73271173271173
11,11.0,76.94207713419038
12,12.0,76.94207713419038
13,13.0,77.59201747768753
14,14.0,77.38575268817205
15,15.0,77.79526029526029
16,16.0,77.79526029526029
17,17.0,78.12790845767246
18,18.0,77.30318257956449
19,19.0,77.8584843408964
20,20.0,77.51408450704226
