Muestra;Coef_erp;acc_P300S01;acc_P300S02;acc_P300S03;acc_P300S06
1;1;76.64902998;78.81578947;71.25968992;72.86076849
2;2;76.37298091;78.81578947;71.33995865;72.56136821
3;3;76.08999586;78.81578947;70.85090324;73.11167002
4;4;76.30345636;78.34851715;70.85090324;74.04326381
5;5;76.30345636;78.34851715;70.85090324;73.97137201
6;6;76.30345636;78.34851715;71.74676358;75.40775346
7;7;75.79976109;78.34851715;71.25968992;76.41348089
8;8;75.79976109;78.11403509;70.78834809;77.38575269
9;9;75.60429037;78.81578947;70.78834809;77.0561265
10;10;74.96564586;79.51754386;71.1869715;76.73271173
11;11;75.25102043;79.29535495;71.1869715;76.94207713
12;12;75.25102043;79.06825389;71.95099708;76.94207713
13;13;76.24970103;78.58486708;72.0419668;77.59201748
14;14;77.18148803;78.58486708;72.57582721;77.38575269
15;15;78.16578483;78.11403509;72.91640104;77.7952603
16;16;76.70930078;78.11403509;74.14407169;77.7952603
17;17;77.18148803;78.11403509;73.68991457;78.12790846
18;18;77.68954796;77.12218337;73.24853229;77.30318258
19;19;77.43844095;77.12218337;72.1428875;77.85848434
20;20;77.22409212;77.08325436;72.1428875;77.51408451
