Muestra;secuencia;P300S01;P300S02;P300S03;P300S06;;;;;;;
1;1;0;0;0;0;;;;0.54583333;0.562587495;0.55873541;0.5901482
2;2;0;0;0;0;;;;0.57583241;0.61254618;0.587584235;0.58793542
3;3;0.654867257;0.685840708;0.630136986;0.634703196;;;;;;;
4;4;0.637168142;0.685840708;0.689497717;0.684931507;;;;;;;
5;5;0.619469027;0.694690265;0.730593607;0.643835616;;;;;;;
6;6;0.654867257;0.730088496;0.684931507;0.726027397;;;;;;;
7;7;0.694690265;0.663716814;0.707762557;0.652968037;;;;;;;
8;8;0.690265487;0.725663717;0.698630137;0.648401826;;;;;;;
9;9;0.659292035;0.707964602;0.712328767;0.721461187;;;;;;;
10;10;0.738938053;0.716814159;0.684931507;0.662100457;;;;;;;
