Muestra;secuencia;P300S01;P300S02;P300S03;P300S06;;;;;;;;
1;1;0;0;0;0;;;;;0.57248732;0.6325871;0.64889511;0.605413093
2;2;0;0;0;0;;;;;0.67785422;0.6187584;0.61965742;0.75841239
3;3;0.752212389;0.721238938;0.757990868;0.776255708;;;;;;;;
4;4;0.787610619;0.787610619;0.762557078;0.771689498;;;;;;;;
5;5;0.734513274;0.716814159;0.821917808;0.666666667;;;;;;;;
6;6;0.747787611;0.774336283;0.694063927;0.716894977;;;;;;;;
7;7;0.743362832;0.730088496;0.735159817;0.716894977;;;;;;;;
8;8;0.787610619;0.752212389;0.707762557;0.657534247;;;;;;;;
9;9;0.787610619;0.769911504;0.812785388;0.744292237;;;;;;;;
10;10;0.831858407;0.752212389;0.767123288;0.753424658;;;;;;;;
